"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"574C1FED03881B09","electric_bike","2025-03-20 08:51:22.489","2025-03-20 09:00:12.08","Franklin St & Chicago Ave","13017","Halsted St & Fulton St","23003","41.89679","-87.63564","41.886871","-87.648089","member"
"9424FCE6011527EC","electric_bike","2025-03-04 08:38:39.623","2025-03-04 08:47:06.22","Franklin St & Chicago Ave","13017","Halsted St & Fulton St","23003","41.89679","-87.63564","41.886871","-87.648089","member"
"102C15924EEB7993","classic_bike","2025-03-14 19:58:15.686","2025-03-14 20:10:51.015","Larrabee St & Armitage Ave","TA1309000006","Paulina Ave & North Ave","TA1305000037","41.918084","-87.643749","41.90985465216731","-87.66993016004562","member"
"BB9EABAA82018E57","classic_bike","2025-03-12 13:00:31.512","2025-03-12 13:07:14.578","Leavitt St & Armitage Ave","TA1309000029","Campbell Ave & North Ave","13257","41.917805","-87.682437","41.910535","-87.689556","member"
"718046ED6D305DEB","electric_bike","2025-03-26 19:07:16.544","2025-03-26 20:59:15.982","Claremont Ave & Hirsch St","13245","Campbell Ave & North Ave","13257","41.907781","-87.685854","41.910535","-87.689556","member"
"83A15E78471CDA33","classic_bike","2025-03-17 18:04:49.011","2025-03-17 18:18:56.762","Wood St & Milwaukee Ave","13221","Campbell Ave & North Ave","13257","41.907655","-87.672552","41.910535","-87.689556","member"
"96FD2847D0749D00","classic_bike","2025-03-25 14:57:08.294","2025-03-25 15:00:51.712","Canal St & Taylor St","15550","Halsted St & Polk St","TA1307000121","41.870257","-87.639474","41.87184","-87.64664","member"
"64801A37BDE6B815","classic_bike","2025-03-07 09:00:34.316","2025-03-07 09:14:07.688","Wood St & Milwaukee Ave","13221","Halsted St & Fulton St","23003","41.907655","-87.672552","41.886871","-87.648089","member"
"CBCA55BD5412F7AA","electric_bike","2025-03-22 13:04:17.555","2025-03-22 13:08:30.579","Throop St & Taylor St","13139","Halsted St & Polk St","TA1307000121","41.868968","-87.659141","41.87184","-87.64664","member"
"7611A4EF5B29F2BF","electric_bike","2025-03-05 16:00:03.365","2025-03-05 16:05:18.407","Throop St & Taylor St","13139","Halsted St & Polk St","TA1307000121","41.868968","-87.659141","41.87184","-87.64664","member"
"F00C706411B9D7AB","classic_bike","2025-03-29 07:47:14.998","2025-03-29 07:52:33.115","Throop St & Taylor St","13139","Halsted St & Polk St","TA1307000121","41.868968","-87.659141","41.87184","-87.64664","member"
"AA63130357715591","classic_bike","2025-03-16 00:19:09.385","2025-03-16 00:26:42.756","Wood St & Milwaukee Ave","13221","Campbell Ave & North Ave","13257","41.907655","-87.672552","41.910535","-87.689556","member"
